t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,stall-torque,hip_abduction_right_joint,RS03,-0.097601,0.000000,0.000003,0.0000,0.0000,-0.097601,-0.003967,-0.004578,31.00
0.008028,stall-torque,hip_abduction_right_joint,RS03,-0.097218,0.000000,0.048167,0.0000,0.0000,-0.097218,-0.022278,0.035706,30.00
0.016015,stall-torque,hip_abduction_right_joint,RS03,-0.097218,0.000000,0.096093,0.0000,0.0000,-0.097218,-0.059511,0.017395,31.00
0.024011,stall-torque,hip_abduction_right_joint,RS03,-0.097218,0.000000,0.144069,0.0000,0.0000,-0.097218,0.094301,-0.013733,30.00
0.032011,stall-torque,hip_abduction_right_joint,RS03,-0.097218,0.000000,0.192066,0.0000,0.0000,-0.097218,0.000916,0.077820,31.00
0.040010,stall-torque,hip_abduction_right_joint,RS03,-0.097218,0.000000,0.240060,0.0000,0.0000,-0.097218,0.033264,0.090637,30.00
0.048008,stall-torque,hip_abduction_right_joint,RS03,-0.096834,0.000000,0.288051,0.0000,0.0000,-0.096834,-0.036926,0.103455,31.00
0.056009,stall-torque,hip_abduction_right_joint,RS03,-0.097218,0.000000,0.336053,0.0000,0.0000,-0.097218,-0.088808,0.112610,30.00
0.064008,stall-torque,hip_abduction_right_joint,RS03,-0.096834,0.000000,0.384049,0.0000,0.0000,-0.096834,-0.138857,0.207825,31.00
0.072007,stall-torque,hip_abduction_right_joint,RS03,-0.096451,0.000000,0.432044,0.0000,0.0000,-0.096451,-0.024109,0.244453,31.00
0.080008,stall-torque,hip_abduction_right_joint,RS03,-0.096451,0.000000,0.480046,0.0000,0.0000,-0.096451,0.118105,0.282906,31.00
0.088010,stall-torque,hip_abduction_right_joint,RS03,-0.096067,0.000000,0.528061,0.0000,0.0000,-0.096067,-0.048525,0.339668,31.00
0.096009,stall-torque,hip_abduction_right_joint,RS03,-0.095683,0.000000,0.576053,0.0000,0.0000,-0.095683,0.148012,0.350655,31.00
0.104010,stall-torque,hip_abduction_right_joint,RS03,-0.094916,0.000000,0.624059,0.0000,0.0000,-0.094916,0.044861,0.381783,31.00
0.112015,stall-torque,hip_abduction_right_joint,RS03,-0.094150,0.000000,0.672087,0.0000,0.0000,-0.094150,0.168154,0.376289,30.00
0.120010,stall-torque,hip_abduction_right_joint,RS03,-0.093383,0.000000,0.720058,0.0000,0.0000,-0.093383,0.213930,0.330513,31.00
0.128010,stall-torque,hip_abduction_right_joint,RS03,-0.091465,0.000000,0.768061,0.0000,0.0000,-0.091465,0.205385,0.273750,31.00
0.136009,stall-torque,hip_abduction_right_joint,RS03,-0.089164,0.000000,0.816054,0.0000,0.0000,-0.089164,0.307926,0.205994,31.00
0.144010,stall-torque,hip_abduction_right_joint,RS03,-0.085712,0.000000,0.864062,0.0000,0.0000,-0.085712,0.408638,0.325020,31.00
0.152008,stall-torque,hip_abduction_right_joint,RS03,-0.081878,0.000000,0.912045,0.0000,0.0000,-0.081878,0.496529,0.572212,31.00
0.160008,stall-torque,hip_abduction_right_joint,RS03,-0.077276,0.000000,0.960049,0.0000,0.0000,-0.077276,0.444038,0.715042,31.00
0.168008,stall-torque,hip_abduction_right_joint,RS03,-0.073056,0.000000,1.008050,0.0000,0.0000,-0.073056,0.483711,0.694893,31.00
0.176008,stall-torque,hip_abduction_right_joint,RS03,-0.068071,0.000000,1.056049,0.0000,0.0000,-0.068071,0.617380,0.572212,31.00
0.184009,stall-torque,hip_abduction_right_joint,RS03,-0.063086,0.000000,1.104051,0.0000,0.0000,-0.063086,0.798046,0.374458,31.00
0.192008,stall-torque,hip_abduction_right_joint,RS03,-0.056950,0.000000,1.152050,0.0000,0.0000,-0.056950,0.905472,0.359810,31.00
0.200008,stall-torque,hip_abduction_right_joint,RS03,-0.049664,0.000000,1.200051,0.0000,0.0000,-0.049664,1.011063,0.429390,31.00
0.208008,stall-torque,hip_abduction_right_joint,RS03,-0.041993,0.000000,1.248046,0.0000,0.0000,-0.041993,0.990921,0.808426,31.00
0.216009,stall-torque,hip_abduction_right_joint,RS03,-0.033557,0.000000,1.296053,0.0000,0.0000,-0.033557,1.076372,0.669258,31.00
0.224010,stall-torque,hip_abduction_right_joint,RS03,-0.024736,0.000000,1.344057,0.0000,0.0000,-0.024736,1.159990,0.442207,31.00
0.232009,stall-torque,hip_abduction_right_joint,RS03,-0.014381,0.000000,1.392056,0.0000,0.0000,-0.014381,1.383993,0.592354,31.00
0.240009,stall-torque,hip_abduction_right_joint,RS03,-0.003260,0.000000,1.440052,0.0000,0.0000,-0.003260,1.516441,0.735184,31.00
0.248008,stall-torque,hip_abduction_right_joint,RS03,0.008245,0.000000,1.488051,0.0000,0.0000,0.008245,1.371176,0.537422,30.00
0.256009,stall-torque,hip_abduction_right_joint,RS03,0.021284,0.000000,1.536055,0.0000,0.0000,0.021284,1.724575,0.669258,31.00
0.264008,stall-torque,hip_abduction_right_joint,RS03,0.035473,0.000000,1.584050,0.0000,0.0000,0.035473,1.755093,0.737015,30.00
0.272014,stall-torque,hip_abduction_right_joint,RS03,0.050048,0.000000,1.632083,0.0000,0.0000,0.050048,1.868620,0.517281,31.00
0.280008,stall-torque,hip_abduction_right_joint,RS03,0.066154,0.000000,1.680050,0.0000,0.0000,0.066154,2.116428,0.863358,31.00
0.288008,stall-torque,hip_abduction_right_joint,RS03,0.083412,0.000000,1.728049,0.0000,0.0000,0.083412,2.299536,0.541084,31.00
0.296010,stall-torque,hip_abduction_right_joint,RS03,0.101819,0.000000,1.776058,0.0000,0.0000,0.101819,2.377050,0.868851,31.00
0.304009,stall-torque,hip_abduction_right_joint,RS03,0.121378,0.000000,1.824057,0.0000,0.0000,0.121378,2.533302,0.612495,31.00
0.312007,stall-torque,hip_abduction_right_joint,RS03,0.142470,0.000000,1.872042,0.0000,0.0000,0.142470,2.760967,0.821243,31.00
0.320006,stall-torque,hip_abduction_right_joint,RS03,0.164714,0.000000,1.920037,0.0000,0.0000,0.164714,2.762188,0.962234,31.00
0.328006,stall-torque,hip_abduction_right_joint,RS03,0.188491,0.000000,1.968035,0.0000,0.0000,0.188491,3.016098,0.616158,30.00
0.336007,stall-torque,hip_abduction_right_joint,RS03,0.213418,0.000000,2.016041,0.0000,0.0000,0.213418,3.271839,0.885330,30.00
0.344009,stall-torque,hip_abduction_right_joint,RS03,0.239880,0.000000,2.064056,0.0000,0.0000,0.239880,3.557489,1.088577,31.00
0.352010,stall-torque,hip_abduction_right_joint,RS03,0.268259,0.000000,2.112058,0.0000,0.0000,0.268259,3.626459,1.008011,30.00
0.360009,stall-torque,hip_abduction_right_joint,RS03,0.297405,0.000000,2.160056,0.0000,0.0000,0.297405,3.699703,0.738846,31.00
0.368009,stall-torque,hip_abduction_right_joint,RS03,0.328852,0.000000,2.208055,0.0000,0.0000,0.328852,3.989014,0.720535,31.00
0.376010,stall-torque,hip_abduction_right_joint,RS03,0.361067,0.000000,2.256057,0.0000,0.0000,0.361067,4.196537,0.698555,31.00
0.384008,stall-torque,hip_abduction_right_joint,RS03,0.395198,0.000000,2.304049,0.0000,0.0000,0.395198,4.394903,0.784622,31.00
0.392007,stall-torque,hip_abduction_right_joint,RS03,0.430862,0.000000,2.352042,0.0000,0.0000,0.430862,4.556648,0.802933,31.00
0.400009,stall-torque,hip_abduction_right_joint,RS03,0.468830,0.000000,2.400052,0.0000,0.0000,0.468830,4.867323,0.883499,31.00
0.408012,stall-torque,hip_abduction_right_joint,RS03,0.507947,0.000000,2.448074,0.0000,0.0000,0.507947,4.913099,0.841385,31.00
0.416010,stall-torque,hip_abduction_right_joint,RS03,0.548983,0.000000,2.496061,0.0000,0.0000,0.548983,5.139544,1.170975,31.00
0.424010,stall-torque,hip_abduction_right_joint,RS03,0.592318,0.000000,2.544057,0.0000,0.0000,0.592318,5.581446,1.143509,31.00
0.432011,stall-torque,hip_abduction_right_joint,RS03,0.637569,0.000000,2.592063,0.0000,0.0000,0.637569,5.854885,0.876175,31.00
0.440008,stall-torque,hip_abduction_right_joint,RS03,0.684741,0.000000,2.640046,0.0000,0.0000,0.684741,6.008087,1.181969,31.00
0.448007,stall-torque,hip_abduction_right_joint,RS03,0.733829,0.000000,2.688039,0.0000,0.0000,0.733829,6.102694,0.912796,31.00
0.456009,stall-torque,hip_abduction_right_joint,RS03,0.785218,0.000000,2.736056,0.0000,0.0000,0.785218,6.490883,0.953079,31.00
0.464009,stall-torque,hip_abduction_right_joint,RS03,0.838909,0.000000,2.784052,0.0000,0.0000,0.838909,6.778973,1.072098,31.00
0.472010,stall-torque,hip_abduction_right_joint,RS03,0.894516,0.000000,2.832058,0.0000,0.0000,0.894516,7.096970,1.170975,30.00
0.480008,stall-torque,hip_abduction_right_joint,RS03,0.953193,0.000000,2.880049,0.0000,0.0000,0.953193,7.452812,1.050125,31.00
0.488008,stall-torque,hip_abduction_right_joint,RS03,1.013018,0.000000,2.928051,0.0000,0.0000,1.013018,7.684137,1.170975,30.00
0.496008,stall-torque,hip_abduction_right_joint,RS03,1.075912,0.000000,2.976049,0.0000,0.0000,1.075912,7.958191,1.407188,31.00
0.504009,stall-torque,hip_abduction_right_joint,RS03,1.140724,0.000000,3.024051,0.0000,0.0000,1.140724,8.147402,1.225914,30.00
0.512127,stall-torque,hip_abduction_right_joint,RS03,1.208220,0.000000,3.072760,0.0000,0.0000,1.208220,8.584421,1.308311,31.00
0.520020,stall-torque,hip_abduction_right_joint,RS03,1.277634,0.000000,3.120121,0.0000,0.0000,1.277634,8.820629,1.279015,31.00
0.528009,stall-torque,hip_abduction_right_joint,RS03,1.349732,0.000000,3.168055,0.0000,0.0000,1.349732,9.299154,1.590294,31.00
0.536009,stall-torque,hip_abduction_right_joint,RS03,1.425282,0.000000,3.216057,0.0000,0.0000,1.425282,9.527428,1.485924,31.00
0.544010,stall-torque,hip_abduction_right_joint,RS03,1.501982,0.000000,3.264061,0.0000,0.0000,1.501982,9.705044,1.403526,31.00
0.552010,stall-torque,hip_abduction_right_joint,RS03,1.582517,0.000000,3.312062,0.0000,0.0000,1.582517,10.126802,1.235069,31.00
0.560009,stall-torque,hip_abduction_right_joint,RS03,1.665737,0.000000,3.360054,0.0000,0.0000,1.665737,10.541847,1.427330,31.00
0.568010,stall-torque,hip_abduction_right_joint,RS03,1.751258,0.000000,3.408059,0.0000,0.0000,1.751258,10.873886,1.308311,31.00
0.576008,stall-torque,hip_abduction_right_joint,RS03,1.838696,0.000000,3.456046,0.0000,0.0000,1.838696,11.064928,1.460289,30.00
0.584012,stall-torque,hip_abduction_right_joint,RS03,1.930353,0.000000,3.504070,0.0000,0.0000,1.930353,11.527580,1.311974,31.00
0.592007,stall-torque,hip_abduction_right_joint,RS03,2.023928,0.000000,3.552041,0.0000,0.0000,2.023928,12.006104,1.701996,31.00
0.600010,stall-torque,hip_abduction_right_joint,RS03,2.120954,0.000000,3.600057,0.0000,0.0000,2.120954,12.248417,1.570152,31.00
0.608009,stall-torque,hip_abduction_right_joint,RS03,2.221431,0.000000,3.648057,0.0000,0.0000,2.221431,12.698864,1.524376,30.00
0.616009,stall-torque,hip_abduction_right_joint,RS03,2.323442,0.000000,3.696054,0.0000,0.0000,2.323442,12.966812,1.385216,31.00
0.624008,stall-torque,hip_abduction_right_joint,RS03,2.430055,0.000000,3.744046,0.0000,0.0000,2.430055,13.483788,1.582970,31.00
0.632009,stall-torque,hip_abduction_right_joint,RS03,2.539736,0.000000,3.792055,0.0000,0.0000,2.539736,13.641869,1.630577,31.00
0.640009,stall-torque,hip_abduction_right_joint,RS03,2.650951,0.000000,3.840051,0.0000,0.0000,2.650951,14.174107,1.830170,31.00
0.648009,stall-torque,hip_abduction_right_joint,RS03,2.767535,0.000000,3.888056,0.0000,0.0000,2.767535,14.727703,1.584801,31.00
0.656008,stall-torque,hip_abduction_right_joint,RS03,2.885653,0.000000,3.936049,0.0000,0.0000,2.885653,15.060959,1.513390,31.00
0.664011,stall-torque,hip_abduction_right_joint,RS03,3.008374,0.000000,3.984068,0.0000,0.0000,3.008374,15.416801,1.626915,31.00
0.672008,stall-torque,hip_abduction_right_joint,RS03,3.133779,0.000000,4.032046,0.0000,0.0000,3.133779,15.795834,2.037079,31.00
0.680008,stall-torque,hip_abduction_right_joint,RS03,3.261868,0.000000,4.080046,0.0000,0.0000,3.261868,16.299381,1.526207,31.00
0.688018,stall-torque,hip_abduction_right_joint,RS03,3.394944,0.000000,4.128109,0.0000,0.0000,3.394944,16.719311,1.813690,31.00
0.696015,stall-torque,hip_abduction_right_joint,RS03,3.529552,0.000000,4.176087,0.0000,0.0000,3.529552,17.085526,1.698334,31.00
0.704009,stall-torque,hip_abduction_right_joint,RS03,3.669530,0.000000,4.224053,0.0000,0.0000,3.669530,17.689175,1.956512,31.00
0.712010,stall-torque,hip_abduction_right_joint,RS03,3.812575,0.000000,4.272058,0.0000,0.0000,3.812575,18.137787,1.874115,31.00
0.720009,stall-torque,hip_abduction_right_joint,RS03,3.957923,0.000000,4.320054,0.0000,0.0000,3.957923,18.438087,1.048294,31.00
0.728009,stall-torque,hip_abduction_right_joint,RS03,4.109023,0.000000,4.368056,0.0000,0.0000,4.109023,18.967880,2.167088,31.00
0.736009,stall-torque,hip_abduction_right_joint,RS03,4.263188,0.000000,4.416051,0.0000,0.0000,4.263188,19.587395,1.158157,31.00
0.744009,stall-torque,hip_abduction_right_joint,RS03,4.422343,0.000000,4.464052,0.0000,0.0000,4.422343,20.000000,2.040741,31.00
0.752008,stall-torque,hip_abduction_right_joint,RS03,4.588016,0.000000,4.512046,0.0000,0.0000,4.588016,20.000000,0.024719,31.00
0.760009,stall-torque,hip_abduction_right_joint,RS03,4.754838,0.000000,4.560054,0.0000,0.0000,4.754838,20.000000,0.163879,31.00
0.768008,stall-torque,hip_abduction_right_joint,RS03,4.922427,0.000000,4.608051,0.0000,0.0000,4.922427,20.000000,0.458687,31.00
0.776009,stall-torque,hip_abduction_right_joint,RS03,5.092702,0.000000,4.656054,0.0000,0.0000,5.092702,20.000000,0.722366,31.00
0.784009,stall-torque,hip_abduction_right_joint,RS03,5.262210,0.000000,4.704054,0.0000,0.0000,5.262210,20.000000,0.727859,30.00
0.792009,stall-torque,hip_abduction_right_joint,RS03,5.432099,0.000000,4.752055,0.0000,0.0000,5.432099,20.000000,0.156555,31.00
0.800008,stall-torque,hip_abduction_right_joint,RS03,5.600841,0.000000,4.800050,0.0000,0.0000,5.600841,20.000000,-0.017395,31.00
0.808009,stall-torque,hip_abduction_right_joint,RS03,5.771882,0.000000,4.848056,0.0000,0.0000,5.771882,20.000000,-0.744335,31.00
0.816009,stall-torque,hip_abduction_right_joint,RS03,5.941775,0.000000,4.896052,0.0000,0.0000,5.941775,20.000000,-0.187687,30.00
0.824010,stall-torque,hip_abduction_right_joint,RS03,6.110898,0.000000,4.944062,0.0000,0.0000,6.110898,20.000000,-0.806591,31.00
0.832008,stall-torque,hip_abduction_right_joint,RS03,6.281940,0.000000,4.992049,0.0000,0.0000,6.281940,20.000000,0.733353,31.00
0.840007,stall-torque,hip_abduction_right_joint,RS03,6.451064,0.000000,5.040041,0.0000,0.0000,6.451064,20.000000,0.594185,31.00
0.848008,stall-torque,hip_abduction_right_joint,RS03,6.621337,0.000000,5.088050,0.0000,0.0000,6.621337,20.000000,1.304649,30.00
0.856009,stall-torque,hip_abduction_right_joint,RS03,6.792762,0.000000,5.136054,0.0000,0.0000,6.792762,20.000000,0.074158,31.00
0.864009,stall-torque,hip_abduction_right_joint,RS03,6.961503,0.000000,5.184053,0.0000,0.0000,6.961503,20.000000,0.356148,31.00
0.872011,stall-torque,hip_abduction_right_joint,RS03,7.133311,0.000000,5.232064,0.0000,0.0000,7.133311,20.000000,-0.610668,31.00
0.880009,stall-torque,hip_abduction_right_joint,RS03,7.302434,0.000000,5.280054,0.0000,0.0000,7.302434,20.000000,0.107117,31.00
0.888010,stall-torque,hip_abduction_right_joint,RS03,7.473861,0.000000,5.328062,0.0000,0.0000,7.473861,20.000000,-0.735180,31.00
0.896010,stall-torque,hip_abduction_right_joint,RS03,7.644135,0.000000,5.376058,0.0000,0.0000,7.644135,20.000000,1.213097,31.00
0.904009,stall-torque,hip_abduction_right_joint,RS03,7.814410,0.000000,5.424052,0.0000,0.0000,7.814410,20.000000,0.520943,31.00
0.912008,stall-torque,hip_abduction_right_joint,RS03,7.983916,0.000000,5.472051,0.0000,0.0000,7.983916,20.000000,1.332115,31.00
0.920009,stall-torque,hip_abduction_right_joint,RS03,8.155725,0.000000,5.520053,0.0000,0.0000,8.155725,20.000000,0.288399,31.00
0.928008,stall-torque,hip_abduction_right_joint,RS03,8.325233,0.000000,5.568048,0.0000,0.0000,8.325233,20.000000,0.553902,31.00
0.936008,stall-torque,hip_abduction_right_joint,RS03,8.496659,0.000000,5.616047,0.0000,0.0000,8.496659,20.000000,-0.297550,31.00
0.944009,stall-torque,hip_abduction_right_joint,RS03,8.667315,0.000000,5.664057,0.0000,0.0000,8.667315,20.000000,-0.293888,31.00
0.952010,stall-torque,hip_abduction_right_joint,RS03,8.838357,0.000000,5.712058,0.0000,0.0000,8.838357,20.000000,-0.455025,31.00
0.960008,stall-torque,hip_abduction_right_joint,RS03,9.007865,0.000000,5.760051,0.0000,0.0000,9.007865,20.000000,0.656441,31.00
0.968009,stall-torque,hip_abduction_right_joint,RS03,9.178905,0.000000,5.808051,0.0000,0.0000,9.178905,20.000000,0.416573,30.00
0.976009,stall-torque,hip_abduction_right_joint,RS03,9.349948,0.000000,5.856053,0.0000,0.0000,9.349948,20.000000,1.062943,30.00
