t_s,maneuver,joint,model,cmd_pos,cmd_vel,cmd_tau,cmd_kp,cmd_kd,fb_pos,fb_vel,fb_tau,fb_temp
0.000001,torque-chirp,foot_right_joint,RS02,-0.199613,0.000000,0.000017,0.0000,0.0000,-0.199613,-0.056305,-0.000259,31.00
0.008037,torque-chirp,foot_right_joint,RS02,-0.199228,0.000000,0.212446,0.0000,0.0000,-0.199228,0.123142,-0.001297,31.00
0.016026,torque-chirp,foot_right_joint,RS02,-0.199228,0.000000,0.410469,0.0000,0.0000,-0.199228,0.078278,-0.033464,31.00
0.024021,torque-chirp,foot_right_joint,RS02,-0.198845,0.000000,0.582971,0.0000,0.0000,-0.198845,-0.005951,0.135149,31.00
0.032019,torque-chirp,foot_right_joint,RS02,-0.197311,0.000000,0.718866,0.0000,0.0000,-0.197311,0.276951,0.274708,31.00
0.040018,torque-chirp,foot_right_joint,RS02,-0.194243,0.000000,0.809366,0.0000,0.0000,-0.194243,0.309910,0.342672,31.00
0.048022,torque-chirp,foot_right_joint,RS02,-0.187724,0.000000,0.848590,0.0000,0.0000,-0.187724,0.616619,0.426718,31.00
0.056023,torque-chirp,foot_right_joint,RS02,-0.178137,0.000000,0.833829,0.0000,0.0000,-0.178137,0.868393,0.439169,31.00
0.064021,torque-chirp,foot_right_joint,RS02,-0.166247,0.000000,0.765920,0.0000,0.0000,-0.166247,1.081713,0.401297,31.00
0.072019,torque-chirp,foot_right_joint,RS02,-0.152442,0.000000,0.649058,0.0000,0.0000,-0.152442,1.264818,0.391439,31.00
0.080020,torque-chirp,foot_right_joint,RS02,-0.135951,0.000000,0.490492,0.0000,0.0000,-0.135951,1.438772,0.328144,31.00
0.088018,torque-chirp,foot_right_joint,RS02,-0.117543,0.000000,0.300391,0.0000,0.0000,-0.117543,1.556879,0.363424,31.00
0.096017,torque-chirp,foot_right_joint,RS02,-0.098368,0.000000,0.090805,0.0000,0.0000,-0.098368,1.752802,0.281971,31.00
0.104019,torque-chirp,foot_right_joint,RS02,-0.078043,0.000000,-0.124928,0.0000,0.0000,-0.078043,1.776609,0.176653,31.00
0.112018,torque-chirp,foot_right_joint,RS02,-0.057333,0.000000,-0.332729,0.0000,0.0000,-0.057333,1.754633,0.288197,31.00
0.120018,torque-chirp,foot_right_joint,RS02,-0.037775,0.000000,-0.519235,0.0000,0.0000,-0.037775,1.655756,0.141893,31.00
0.128020,torque-chirp,foot_right_joint,RS02,-0.019366,0.000000,-0.672359,0.0000,0.0000,-0.019366,1.494619,0.027756,31.00
0.136018,torque-chirp,foot_right_joint,RS02,-0.003260,0.000000,-0.781933,0.0000,0.0000,-0.003260,1.230944,0.023605,31.00
0.144019,torque-chirp,foot_right_joint,RS02,0.010546,0.000000,-0.840812,0.0000,0.0000,0.010546,1.024033,-0.019974,31.00
0.152018,torque-chirp,foot_right_joint,RS02,0.018600,0.000000,-0.844977,0.0000,0.0000,0.018600,0.436256,-0.197926,31.00
0.160018,torque-chirp,foot_right_joint,RS02,0.019750,0.000000,-0.794008,0.0000,0.0000,0.019750,-0.130465,-0.240986,31.00
0.168016,torque-chirp,foot_right_joint,RS02,0.016298,0.000000,-0.691092,0.0000,0.0000,0.016298,-0.364843,-0.426199,31.00
0.176019,torque-chirp,foot_right_joint,RS02,0.008245,0.000000,-0.542719,0.0000,0.0000,0.008245,-0.940720,-0.330221,31.00
0.184018,torque-chirp,foot_right_joint,RS02,-0.004026,0.000000,-0.358666,0.0000,0.0000,-0.004026,-1.035934,-0.199482,31.00
0.192018,torque-chirp,foot_right_joint,RS02,-0.018600,0.000000,-0.150814,0.0000,0.0000,-0.018600,-1.317005,-0.279896,31.00
0.200018,torque-chirp,foot_right_joint,RS02,-0.033940,0.000000,0.067185,0.0000,0.0000,-0.033940,-1.263905,-0.236835,31.00
0.208019,torque-chirp,foot_right_joint,RS02,-0.050047,0.000000,0.280958,0.0000,0.0000,-0.050047,-1.374685,-0.063036,31.00
0.216017,torque-chirp,foot_right_joint,RS02,-0.066920,0.000000,0.476305,0.0000,0.0000,-0.066920,-1.418631,-0.024643,31.00
0.224019,torque-chirp,foot_right_joint,RS02,-0.082644,0.000000,0.640332,0.0000,0.0000,-0.082644,-1.338062,-0.036577,31.00
0.232017,torque-chirp,foot_right_joint,RS02,-0.096834,0.000000,0.761922,0.0000,0.0000,-0.096834,-1.156786,0.049026,31.00
0.240018,torque-chirp,foot_right_joint,RS02,-0.107188,0.000000,0.832976,0.0000,0.0000,-0.107188,-0.801558,0.269001,31.00
0.248019,torque-chirp,foot_right_joint,RS02,-0.112557,0.000000,0.848544,0.0000,0.0000,-0.112557,-0.275120,0.287159,31.00
0.256017,torque-chirp,foot_right_joint,RS02,-0.112557,0.000000,0.807454,0.0000,0.0000,-0.112557,0.167088,0.414785,31.00
0.264018,torque-chirp,foot_right_joint,RS02,-0.108339,0.000000,0.712268,0.0000,0.0000,-0.108339,0.480202,0.534111,31.00
0.272023,torque-chirp,foot_right_joint,RS02,-0.100669,0.000000,0.569139,0.0000,0.0000,-0.100669,0.759441,0.482231,31.00
0.280017,torque-chirp,foot_right_joint,RS02,-0.090315,0.000000,0.387860,0.0000,0.0000,-0.090315,0.925156,0.346304,31.00
0.288017,torque-chirp,foot_right_joint,RS02,-0.077660,0.000000,0.180174,0.0000,0.0000,-0.077660,1.197069,0.296497,31.00
0.296020,torque-chirp,foot_right_joint,RS02,-0.063852,0.000000,-0.039944,0.0000,0.0000,-0.063852,1.219957,0.322437,31.00
0.304019,torque-chirp,foot_right_joint,RS02,-0.049664,0.000000,-0.257461,0.0000,0.0000,-0.049664,1.077135,0.295979,31.00
0.312017,torque-chirp,foot_right_joint,RS02,-0.036241,0.000000,-0.457745,0.0000,0.0000,-0.036241,1.161364,0.126329,31.00
0.320019,torque-chirp,foot_right_joint,RS02,-0.023585,0.000000,-0.627251,0.0000,0.0000,-0.023585,1.103685,0.053177,31.00
0.328017,torque-chirp,foot_right_joint,RS02,-0.013230,0.000000,-0.754199,0.0000,0.0000,-0.013230,0.668804,-0.066668,31.00
0.336017,torque-chirp,foot_right_joint,RS02,-0.007862,0.000000,-0.829954,0.0000,0.0000,-0.007862,0.289768,-0.182362,31.00
0.344018,torque-chirp,foot_right_joint,RS02,-0.008245,0.000000,-0.849160,0.0000,0.0000,-0.008245,-0.300756,-0.252918,31.00
0.352018,torque-chirp,foot_right_joint,RS02,-0.012847,0.000000,-0.810330,0.0000,0.0000,-0.012847,-0.483864,-0.415823,31.00
0.360016,torque-chirp,foot_right_joint,RS02,-0.022051,0.000000,-0.716011,0.0000,0.0000,-0.022051,-0.887619,-0.404409,31.00
0.368019,torque-chirp,foot_right_joint,RS02,-0.034324,0.000000,-0.572375,0.0000,0.0000,-0.034324,-1.189745,-0.365499,31.00
0.376017,torque-chirp,foot_right_joint,RS02,-0.048897,0.000000,-0.389358,0.0000,0.0000,-0.048897,-1.375601,-0.203632,31.00
0.384016,torque-chirp,foot_right_joint,RS02,-0.065770,0.000000,-0.179351,0.0000,0.0000,-0.065770,-1.554131,-0.085863,31.00
0.392019,torque-chirp,foot_right_joint,RS02,-0.084946,0.000000,0.043352,0.0000,0.0000,-0.084946,-1.609980,-0.302725,31.00
0.400018,torque-chirp,foot_right_joint,RS02,-0.104120,0.000000,0.263147,0.0000,0.0000,-0.104120,-1.551384,-0.110247,31.00
0.408018,torque-chirp,foot_right_joint,RS02,-0.123679,0.000000,0.464955,0.0000,0.0000,-0.123679,-1.668573,-0.014786,31.00
0.416020,torque-chirp,foot_right_joint,RS02,-0.142470,0.000000,0.634707,0.0000,0.0000,-0.142470,-1.578850,-0.125292,31.00
0.424019,torque-chirp,foot_right_joint,RS02,-0.160111,0.000000,0.760431,0.0000,0.0000,-0.160111,-1.405813,-0.004929,31.00
0.432017,torque-chirp,foot_right_joint,RS02,-0.175069,0.000000,0.833312,0.0000,0.0000,-0.175069,-1.260242,0.103502,31.00
0.440021,torque-chirp,foot_right_joint,RS02,-0.186957,0.000000,0.848112,0.0000,0.0000,-0.186957,-1.003891,0.267445,31.00
0.448021,torque-chirp,foot_right_joint,RS02,-0.193093,0.000000,0.803596,0.0000,0.0000,-0.193093,-0.439003,0.326069,31.00
0.456019,torque-chirp,foot_right_joint,RS02,-0.192709,0.000000,0.702772,0.0000,0.0000,-0.192709,0.232090,0.318806,31.00
0.464021,torque-chirp,foot_right_joint,RS02,-0.187724,0.000000,0.552471,0.0000,0.0000,-0.187724,0.569008,0.466667,31.00
0.472018,torque-chirp,foot_right_joint,RS02,-0.180054,0.000000,0.363299,0.0000,0.0000,-0.180054,0.733807,0.513878,31.00
0.480018,torque-chirp,foot_right_joint,RS02,-0.169699,0.000000,0.148266,0.0000,0.0000,-0.169699,0.932480,0.384695,31.00
0.488021,torque-chirp,foot_right_joint,RS02,-0.158194,0.000000,-0.077502,0.0000,0.0000,-0.158194,1.025864,0.270557,31.00
0.496021,torque-chirp,foot_right_joint,RS02,-0.146689,0.000000,-0.297906,0.0000,0.0000,-0.146689,0.975510,0.181322,31.00
0.504020,torque-chirp,foot_right_joint,RS02,-0.134418,0.000000,-0.497403,0.0000,0.0000,-0.134418,1.014877,0.077562,31.00
0.512032,torque-chirp,foot_right_joint,RS02,-0.124447,0.000000,-0.661989,0.0000,0.0000,-0.124447,0.760357,-0.003891,31.00
0.520021,torque-chirp,foot_right_joint,RS02,-0.119460,0.000000,-0.779271,0.0000,0.0000,-0.119460,0.219273,0.015823,31.00
0.528020,torque-chirp,foot_right_joint,RS02,-0.120227,0.000000,-0.841311,0.0000,0.0000,-0.120227,-0.177158,-0.144487,31.00
0.536141,torque-chirp,foot_right_joint,RS02,-0.124830,0.000000,-0.842937,0.0000,0.0000,-0.124830,-0.583658,-0.373800,31.00
0.544027,torque-chirp,foot_right_joint,RS02,-0.134801,0.000000,-0.785042,0.0000,0.0000,-0.134801,-0.910507,-0.375875,31.00
0.552019,torque-chirp,foot_right_joint,RS02,-0.147073,0.000000,-0.670584,0.0000,0.0000,-0.147073,-1.198900,-0.389883,31.00
0.560025,torque-chirp,foot_right_joint,RS02,-0.161646,0.000000,-0.507656,0.0000,0.0000,-0.161646,-1.435110,-0.265888,31.00
0.568020,torque-chirp,foot_right_joint,RS02,-0.178904,0.000000,-0.308294,0.0000,0.0000,-0.178904,-1.579765,-0.223347,31.00
0.576021,torque-chirp,foot_right_joint,RS02,-0.198462,0.000000,-0.086397,0.0000,0.0000,-0.198462,-1.847105,-0.212971,31.00
0.584023,torque-chirp,foot_right_joint,RS02,-0.218020,0.000000,0.141946,0.0000,0.0000,-0.218020,-1.728085,-0.176655,31.00
0.592017,torque-chirp,foot_right_joint,RS02,-0.238346,0.000000,0.360046,0.0000,0.0000,-0.238346,-1.710690,-0.071856,31.00
0.600018,torque-chirp,foot_right_joint,RS02,-0.259055,0.000000,0.552430,0.0000,0.0000,-0.259055,-1.707027,-0.163164,31.00
0.608022,torque-chirp,foot_right_joint,RS02,-0.278231,0.000000,0.704929,0.0000,0.0000,-0.278231,-1.599909,0.014267,31.00
0.616019,torque-chirp,foot_right_joint,RS02,-0.295871,0.000000,0.806196,0.0000,0.0000,-0.295871,-1.446096,0.088457,31.00
0.624020,torque-chirp,foot_right_joint,RS02,-0.310827,0.000000,0.848868,0.0000,0.0000,-0.310827,-1.140306,0.091051,31.00
0.632020,torque-chirp,foot_right_joint,RS02,-0.321182,0.000000,0.829612,0.0000,0.0000,-0.321182,-0.612955,0.197924,31.00
0.640017,torque-chirp,foot_right_joint,RS02,-0.324250,0.000000,0.749710,0.0000,0.0000,-0.324250,-0.048065,0.262257,31.00
0.648018,torque-chirp,foot_right_joint,RS02,-0.321949,0.000000,0.614794,0.0000,0.0000,-0.321949,0.328220,0.362906,31.00
0.656021,torque-chirp,foot_right_joint,RS02,-0.315430,0.000000,0.434547,0.0000,0.0000,-0.315430,0.664227,0.381063,31.00
0.664021,torque-chirp,foot_right_joint,RS02,-0.305075,0.000000,0.222252,0.0000,0.0000,-0.305075,1.005722,0.310505,31.00
0.672017,torque-chirp,foot_right_joint,RS02,-0.293186,0.000000,-0.006483,0.0000,0.0000,-0.293186,0.955368,0.325031,31.00
0.680020,torque-chirp,foot_right_joint,RS02,-0.280914,0.000000,-0.235122,0.0000,0.0000,-0.280914,0.959030,0.275227,31.00
0.688018,torque-chirp,foot_right_joint,RS02,-0.269026,0.000000,-0.446479,0.0000,0.0000,-0.269026,0.986496,0.148119,31.00
0.696017,torque-chirp,foot_right_joint,RS02,-0.257521,0.000000,-0.624972,0.0000,0.0000,-0.257521,0.935226,-0.041765,31.00
0.704020,torque-chirp,foot_right_joint,RS02,-0.249084,0.000000,-0.757332,0.0000,0.0000,-0.249084,0.621197,-0.120104,31.00
0.712017,torque-chirp,foot_right_joint,RS02,-0.244865,0.000000,-0.833421,0.0000,0.0000,-0.244865,0.068207,-0.118547,31.00
0.720016,torque-chirp,foot_right_joint,RS02,-0.246016,0.000000,-0.847550,0.0000,0.0000,-0.246016,-0.176243,-0.327108,31.00
0.728018,torque-chirp,foot_right_joint,RS02,-0.251768,0.000000,-0.798440,0.0000,0.0000,-0.251768,-0.547037,-0.471855,31.00
0.736016,torque-chirp,foot_right_joint,RS02,-0.260972,0.000000,-0.689647,0.0000,0.0000,-0.260972,-0.861982,-0.461998,31.00
0.744017,torque-chirp,foot_right_joint,RS02,-0.272861,0.000000,-0.529064,0.0000,0.0000,-0.272861,-1.056992,-0.368093,31.00
0.752020,torque-chirp,foot_right_joint,RS02,-0.287435,0.000000,-0.328590,0.0000,0.0000,-0.287435,-1.335316,-0.205189,31.00
0.760018,torque-chirp,foot_right_joint,RS02,-0.304308,0.000000,-0.103363,0.0000,0.0000,-0.304308,-1.511101,-0.211933,31.00
0.768016,torque-chirp,foot_right_joint,RS02,-0.321949,0.000000,0.129839,0.0000,0.0000,-0.321949,-1.423208,-0.290791,31.00
0.776019,torque-chirp,foot_right_joint,RS02,-0.339973,0.000000,0.353591,0.0000,0.0000,-0.339973,-1.541313,-0.103502,31.00
0.784017,torque-chirp,foot_right_joint,RS02,-0.357998,0.000000,0.550707,0.0000,0.0000,-0.357998,-1.598078,-0.037615,31.00
0.792016,torque-chirp,foot_right_joint,RS02,-0.375256,0.000000,0.706324,0.0000,0.0000,-0.375256,-1.437857,-0.127886,31.00
0.800018,torque-chirp,foot_right_joint,RS02,-0.389829,0.000000,0.808565,0.0000,0.0000,-0.389829,-1.195238,0.019455,31.00
0.808017,torque-chirp,foot_right_joint,RS02,-0.400950,0.000000,0.849418,0.0000,0.0000,-0.400950,-0.677959,0.283527,31.00
0.816017,torque-chirp,foot_right_joint,RS02,-0.407086,0.000000,0.825665,0.0000,0.0000,-0.407086,-0.361181,0.336447,31.00
0.824018,torque-chirp,foot_right_joint,RS02,-0.407470,0.000000,0.738919,0.0000,0.0000,-0.407470,0.199131,0.355124,31.00
0.832016,torque-chirp,foot_right_joint,RS02,-0.404018,0.000000,0.595694,0.0000,0.0000,-0.404018,0.452736,0.430349,31.00
0.840016,torque-chirp,foot_right_joint,RS02,-0.397116,0.000000,0.406740,0.0000,0.0000,-0.397116,0.720074,0.537743,31.00
0.848019,torque-chirp,foot_right_joint,RS02,-0.387144,0.000000,0.186333,0.0000,0.0000,-0.387144,0.926987,0.321918,31.00
0.856018,torque-chirp,foot_right_joint,RS02,-0.375640,0.000000,-0.048457,0.0000,0.0000,-0.375640,1.161364,0.193254,31.00
0.864018,torque-chirp,foot_right_joint,RS02,-0.362600,0.000000,-0.279773,0.0000,0.0000,-0.362600,1.131151,0.156420,31.00
0.872027,torque-chirp,foot_right_joint,RS02,-0.349945,0.000000,-0.489937,0.0000,0.0000,-0.349945,0.974594,0.168871,31.00
0.880060,torque-chirp,foot_right_joint,RS02,-0.339207,0.000000,-0.662807,0.0000,0.0000,-0.339207,0.753948,0.056808,31.00
0.888036,torque-chirp,foot_right_joint,RS02,-0.332304,0.000000,-0.783487,0.0000,0.0000,-0.332304,0.427101,-0.092089,31.00
0.896033,torque-chirp,foot_right_joint,RS02,-0.330386,0.000000,-0.843989,0.0000,0.0000,-0.330386,0.010529,-0.214008,31.00
0.904019,torque-chirp,foot_right_joint,RS02,-0.333838,0.000000,-0.839126,0.0000,0.0000,-0.333838,-0.425270,-0.308950,31.00
0.912020,torque-chirp,foot_right_joint,RS02,-0.341125,0.000000,-0.769034,0.0000,0.0000,-0.341125,-0.662395,-0.428793,31.00
0.920019,torque-chirp,foot_right_joint,RS02,-0.352629,0.000000,-0.638982,0.0000,0.0000,-0.352629,-1.107346,-0.301687,31.00
0.928023,torque-chirp,foot_right_joint,RS02,-0.366818,0.000000,-0.458847,0.0000,0.0000,-0.366818,-1.338062,-0.347342,31.00
0.936019,torque-chirp,foot_right_joint,RS02,-0.382926,0.000000,-0.242862,0.0000,0.0000,-0.382926,-1.442434,-0.341116,31.00
0.944021,torque-chirp,foot_right_joint,RS02,-0.400567,0.000000,-0.007497,0.0000,0.0000,-0.400567,-1.512016,-0.192219,31.00
0.952017,torque-chirp,foot_right_joint,RS02,-0.419359,0.000000,0.228498,0.0000,0.0000,-0.419359,-1.578850,-0.154345,31.00
0.960017,torque-chirp,foot_right_joint,RS02,-0.438150,0.000000,0.446839,0.0000,0.0000,-0.438150,-1.635614,-0.156939,31.00
0.968023,torque-chirp,foot_right_joint,RS02,-0.455791,0.000000,0.630294,0.0000,0.0000,-0.455791,-1.424124,-0.070818,31.00
0.976020,torque-chirp,foot_right_joint,RS02,-0.473049,0.000000,0.764012,0.0000,0.0000,-0.473049,-1.459829,-0.002335,31.00
0.984017,torque-chirp,foot_right_joint,RS02,-0.487621,0.000000,0.837503,0.0000,0.0000,-0.487621,-1.094528,0.089495,31.00
0.992019,torque-chirp,foot_right_joint,RS02,-0.497593,0.000000,0.844791,0.0000,0.0000,-0.497593,-0.636759,0.159014,31.00
1.000018,torque-chirp,foot_right_joint,RS02,-0.501428,0.000000,0.785084,0.0000,0.0000,-0.501428,-0.113070,0.267445,31.00
1.008018,torque-chirp,foot_right_joint,RS02,-0.499510,0.000000,0.662968,0.0000,0.0000,-0.499510,0.391396,0.386770,31.00
1.016020,torque-chirp,foot_right_joint,RS02,-0.493374,0.000000,0.487906,0.0000,0.0000,-0.493374,0.613873,0.445395,31.00
1.024023,torque-chirp,foot_right_joint,RS02,-0.483403,0.000000,0.273751,0.0000,0.0000,-0.483403,0.883957,0.276783,31.00
1.032017,torque-chirp,foot_right_joint,RS02,-0.470748,0.000000,0.037822,0.0000,0.0000,-0.470748,1.111010,0.303242,31.00
1.040021,torque-chirp,foot_right_joint,RS02,-0.457708,0.000000,-0.201626,0.0000,0.0000,-0.457708,1.042343,0.293903,31.00
1.048018,torque-chirp,foot_right_joint,RS02,-0.445053,0.000000,-0.424945,0.0000,0.0000,-0.445053,1.030441,0.125292,31.00
1.056017,torque-chirp,foot_right_joint,RS02,-0.432398,0.000000,-0.614395,0.0000,0.0000,-0.432398,1.092699,0.020493,31.00
1.064020,torque-chirp,foot_right_joint,RS02,-0.422043,0.000000,-0.754648,0.0000,0.0000,-0.422043,0.806133,-0.089495,31.00
1.072019,torque-chirp,foot_right_joint,RS02,-0.416290,0.000000,-0.834160,0.0000,0.0000,-0.416290,0.245823,-0.106615,31.00
1.080108,torque-chirp,foot_right_joint,RS02,-0.415139,0.000000,-0.846170,0.0000,0.0000,-0.415139,-0.123140,-0.245655,31.00
1.088024,torque-chirp,foot_right_joint,RS02,-0.419359,0.000000,-0.790203,0.0000,0.0000,-0.419359,-0.478371,-0.415304,31.00
1.096018,torque-chirp,foot_right_joint,RS02,-0.427795,0.000000,-0.670050,0.0000,0.0000,-0.427795,-0.825361,-0.422049,31.00
1.104018,torque-chirp,foot_right_joint,RS02,-0.438917,0.000000,-0.495361,0.0000,0.0000,-0.438917,-1.154039,-0.333334,31.00
1.112019,torque-chirp,foot_right_joint,RS02,-0.452339,0.000000,-0.280243,0.0000,0.0000,-0.452339,-1.248341,-0.307913,31.00
1.120018,torque-chirp,foot_right_joint,RS02,-0.467680,0.000000,-0.042161,0.0000,0.0000,-0.467680,-1.493706,-0.148119,31.00
1.128036,torque-chirp,foot_right_joint,RS02,-0.484937,0.000000,0.200127,0.0000,0.0000,-0.484937,-1.478142,-0.255512,31.00
1.136021,torque-chirp,foot_right_joint,RS02,-0.501428,0.000000,0.425319,0.0000,0.0000,-0.501428,-1.358206,-0.213490,31.00
1.144017,torque-chirp,foot_right_joint,RS02,-0.517535,0.000000,0.616248,0.0000,0.0000,-0.517535,-1.322498,-0.043840,31.00
1.152017,torque-chirp,foot_right_joint,RS02,-0.532492,0.000000,0.756905,0.0000,0.0000,-0.532492,-1.209887,0.038132,31.00
1.160019,torque-chirp,foot_right_joint,RS02,-0.545147,0.000000,0.835546,0.0000,0.0000,-0.545147,-0.856489,0.059402,31.00
1.168019,torque-chirp,foot_right_joint,RS02,-0.552050,0.000000,0.845474,0.0000,0.0000,-0.552050,-0.326391,0.048508,31.00
1.176018,torque-chirp,foot_right_joint,RS02,-0.551666,0.000000,0.785743,0.0000,0.0000,-0.551666,0.246738,0.222828,31.00
1.184022,torque-chirp,foot_right_joint,RS02,-0.545914,0.000000,0.660997,0.0000,0.0000,-0.545914,0.655987,0.319843,31.00
1.192018,torque-chirp,foot_right_joint,RS02,-0.535176,0.000000,0.481637,0.0000,0.0000,-0.535176,0.970932,0.334372,31.00
1.200021,torque-chirp,foot_right_joint,RS02,-0.522904,0.000000,0.262040,0.0000,0.0000,-0.522904,1.117418,0.360312,31.00
